Sensors' Acquisition [Hz]: Gyro@104.0 
hh:mm:ss.ms, Annotation , GyroX [mdps], GyroY, GyroZ
16:19:56.656,,910,-770,490
16:19:56.666,,700,-840,420
16:19:56.676,,700,-910,350
16:19:56.686,,840,-840,420
16:19:56.696,,1260,-840,490
16:19:56.706,,1890,-840,490
16:19:56.716,,2380,-910,630
16:19:56.726,,2800,-840,630
16:19:56.736,,2450,-840,560
16:19:56.746,,1610,-840,490
16:19:56.756,,1260,-840,560
16:19:56.766,,1400,-840,560
16:19:56.776,,1400,-770,560
16:19:56.786,,1470,-840,560
16:19:56.796,,1470,-840,490
16:19:56.806,,1470,-770,490
16:19:56.816,,1400,-840,420
16:19:56.826,,1400,-840,420
16:19:56.836,,1470,-840,490
16:19:56.846,,1400,-770,490
16:19:56.856,,1260,-770,490
16:19:56.866,,980,-630,490
16:19:56.876,,560,-630,490
16:19:56.886,,490,-770,490
16:19:56.896,,1330,-910,490
16:19:56.906,,1750,-840,490
16:19:56.916,,1680,-840,490
16:19:56.926,,1260,-910,490
16:19:56.936,,840,-840,490
16:19:56.946,,770,-840,490
16:19:56.956,,910,-840,490
16:19:56.966,,1260,-910,490
16:19:56.976,,1750,-910,490
16:19:56.986,,1820,-910,560
16:19:56.996,,1750,-910,560
16:19:57.006,,1540,-910,560
16:19:57.016,,1120,-910,420
16:19:57.026,,1050,-980,420
16:19:57.036,,1260,-910,490
16:19:57.046,,1470,-980,490
16:19:57.056,,1820,-910,560
16:19:57.066,,1890,-910,560
16:19:57.076,,1750,-910,560
16:19:57.086,,1680,-910,490
16:19:57.096,,1610,-840,490
16:19:57.106,,1400,-910,420
16:19:57.116,,1190,-910,420
16:19:57.126,,1190,-910,420
16:19:57.136,,1260,-840,420
16:19:57.146,,1540,-770,560
16:19:57.156,,1610,-700,560
16:19:57.166,,1610,-770,560
16:19:57.176,,1610,-770,560
16:19:57.186,,1400,-840,490
16:19:57.196,,1400,-840,490
16:19:57.206,,1190,-910,420
16:19:57.216,,980,-980,420
16:19:57.226,,980,-910,350
16:19:57.236,,1120,-980,420
16:19:57.246,,1470,-910,420
16:19:57.256,,1540,-840,490
16:19:57.266,,1330,-840,490
16:19:57.276,,1470,-770,560
16:19:57.286,,1470,-770,560
16:19:57.296,,1330,-770,560
16:19:57.306,,1120,-770,490
16:19:57.316,,770,-700,490
16:19:57.326,,490,-700,630
16:19:57.336,,420,-840,560
16:19:57.346,,770,-910,420
16:19:57.356,,1260,-980,490
16:19:57.366,,1540,-1050,420
16:19:57.376,,1400,-910,350
16:19:57.386,,910,-910,280
16:19:57.396,,560,-840,350
16:19:57.406,,420,-700,420
16:19:57.416,,980,-700,490
16:19:57.426,,1400,-770,630
16:19:57.436,,1750,-770,630
16:19:57.446,,1680,-770,630
16:19:57.456,,1330,-770,490
16:19:57.466,,770,-840,350
16:19:57.476,,420,-910,350
16:19:57.486,,490,-910,350
16:19:57.496,,910,-980,420
16:19:57.506,,1470,-980,420
16:19:57.516,,1680,-910,490
16:19:57.526,,1400,-700,560
16:19:57.536,,630,-560,630
16:19:57.546,,420,-560,630
16:19:57.556,,630,-630,560
16:19:57.566,,1190,-770,560
16:19:57.576,,1540,-910,490
16:19:57.586,,1610,-910,560
16:19:57.596,,1330,-840,560
16:19:57.606,,980,-770,560
16:19:57.616,,840,-770,490
16:19:57.735,,1190,-980,490
16:19:57.736,,1190,-980,490
16:19:57.737,,1190,-980,490
16:19:57.739,,1190,-980,420
16:19:57.740,,1750,-1050,420
16:19:57.742,,1750,-1050,420
16:19:57.743,,1750,-1050,420
16:19:57.744,,1750,-1050,420
16:19:57.746,,1750,-1050,420
16:19:57.747,,1750,-1050,420
16:19:57.748,,1750,-980,490
16:19:57.750,,2100,-980,490
16:19:57.751,,2100,-980,490
16:19:57.756,,2100,-980,490
16:19:57.766,,2310,-980,490
16:19:57.776,,2310,-980,490
16:19:57.786,,2030,-910,420
16:19:57.796,,1750,-910,490
